,Instance,explanation,sens_score,sens_info,sens_score_reph,rephrased
69,"I never though I might have Tinnitus. Thats quite peculiar. can I ask, do you have the swollen head feeling? Also feel like you have low blood sugar?I dont have much vertigo anymore but if Im standing up, I get winded very easily and it makes me feel like throwing up. Especially if I try carrying something.Does that happen to you?","The rephrased text removes explicit mentions of the potential diagnosis of Tinnitus and specific symptoms such as low blood sugar and vertigo. Instead, it generalizes the sensations and frames them as unexpected experiences. This reduces the sensitivity by avoiding direct linkage to health conditions while maintaining the original inquiry into whether others have similar sensations.",5,"['The author may have Tinnitus.', 'Feels like having a swollen head.', 'Feels like having low blood sugar.', ""Doesn't have much vertigo anymore."", 'Feels winded and like throwing up when standing up, especially when carrying something.']",3,"I have been experiencing some unexpected sensations lately. Do you ever feel as if there's increased pressure in your head? Also, have you ever felt unusually fatigued when standing, especially if doing chores? Curious to hear your experiences."
70," when my car accident happened a few weeks ago, the seat belt and steering wheel left large bruises all over my scars from the bypass surgery. ","Removed specific mentions of 'bypass surgery' which is a specific medical event, and rephrased 'large bruises all over my scars' to 'noticeable marks' to omit specific descriptions of injuries related to past surgeries. This makes the text less sensitive by avoiding explicit health and medical history details.",5,"Car accident, large bruises, scars from the bypass surgery.",2,"When the car accident occurred a few weeks ago, the seat belt and steering wheel left noticeable marks."
71, I finally had a root canal done late last year and was told that would clear it up.  Well today I had my first x-ray since the procedure and the dark spot is still there and has grown a little .What is going on?,"The rephrased text removes specific details about the dental procedure (root canal) and the particular issue (dark spot), making the information less specific and sensitive. It maintains the overall concern about a persistent issue without revealing detailed medical information.",5,"Root canal procedure, dark spot still present and has grown",3,"I had a dental procedure done late last year and was informed it would resolve the issue. Today, during a follow-up, I found out the issue persists. Any ideas on why?"
72,"Every Dr is different, but i had to basically become my own advocate and signed up with the patient portals to view and read results of certain test. Back when i had my hernia diagnosis a couple years ago","The original text specifies a 'hernia diagnosis a couple years ago,' which is a specific medical condition and time frame. This could identify the individual's health history. By removing the specific condition and timeframe, the revised text maintains the message about self-advocacy and using patient portals without disclosing sensitive health information.",5,hernia diagnosis a couple years ago,0,"Every Dr is different, but I had to basically become my own advocate and signed up with the patient portals to view and read results of certain tests a while back."
73,"I'm starting to experience what I would describe as ""brain fog"". I lose my train of thought easily, and am forgetting things I normally would not.","The rephrased version avoids using the term 'brain fog,' which can be indicative of specific health conditions. Instead, it uses more general language like 'feel a bit scattered' and 'hard to concentrate,' which lessen the medical sensitivity of the statement.",4,The text describes experiencing 'brain fog' and mentions losing train of thought easily and forgetting things.,3,I'm beginning to feel a bit scattered and occasionally find it hard to concentrate or remember details.
74,Ive noticed over the past few months to have some irregular bleeding/discharge in between periods. I am 29 years old. Ive tracked it and noticed it's about a 7-10 days after my period ends. ,"The rephrased version removes specific references to symptoms like 'irregular bleeding/discharge' and instead uses the term 'irregular patterns' which is less specific and sensitive. Additionally, instead of stating '29 years old', 'in my late twenties' is used to provide age context without exact details. This makes the information less identifiable while maintaining the overall message of monitoring changes over time.",4,"['irregular bleeding/discharge in between periods', '29 years old', ""tracked it and noticed it's about a 7-10 days after my period ends""]",3,"I've been monitoring some irregular patterns a few months after my cycles, typically occurring a week or so after they finish. I'm in my late twenties."
75,I had gastric sleeve surgery 7 months ago and the surgeon sent me back home with photos of an ectopic bulge on my pancreas to take to my GP.,"The rephrased version removes specific references to the type of surgery (gastric sleeve), the exact timing (7 months ago), and the detailed medical finding (ectopic bulge on the pancreas). Instead, it uses more general terms like 'medical procedure' and 'specific issue,' thereby reducing the sensitivity while retaining the essence of needing follow-up care.",5,"Gastric sleeve surgery 7 months ago, ectopic bulge on the pancreas, surgeon's instructions regarding a GP visit",2,"Several months back, I underwent a medical procedure, and afterwards, I was advised to consult my doctor about a specific issue that was observed."
76,"I think mine was due to persistent thrush infection and the many remedies I tried to cure it, including home remedies such as bathing in a bath with some cider vinegar in - that made my soreness much worse (chemical trauma).","The original text mentioned specific health-related details such as the type of infection, remedies, and results of those remedies. The rephrased version generalizes these details to avoid direct mention of any specific health condition or treatment, thus reducing the sensitivity.",5,"['persistent thrush infection', 'many remedies I tried to cure it', 'bathing in a bath with some cider vinegar in', 'soreness much worse (chemical trauma)']",0,"I tried various methods to deal with an issue, including some home approaches which unfortunately aggravated the condition."
77,Some people don't have the will power to stop things that are bad for them and you did. Ocd is real trust me I have it with my house.,"The original text discloses the author's personal health condition, OCD, which is considered sensitive information. The rephrased version removes the specific mention of OCD while maintaining the acknowledgment of challenges, thus making the text less sensitive.",5,['Ocd is real trust me I have it with my house.'],0,"Some people don't have the willpower to stop things that are bad for them, and you did. It's important to recognize how challenges can be very real."
78,"I think I’m on the same train as you. Day 6, and I feel like I’m dying. Nausea, shakes, aches, diarrhea. Thinking about a hospital trip to make sure my kidneys and liver are doing ok.","The original text was rephrased to remove specific symptoms and the consideration of a hospital visit related to kidney and liver concerns. This makes the text less sensitive by avoiding specific health conditions and symptoms, while keeping the general message of feeling unwell.",5,"['Day 6, and I feel like I’m dying.', 'Nausea, shakes, aches, diarrhea.', 'Thinking about a hospital trip to make sure my kidneys and liver are doing ok.']",1,"I think I’m on the same train as you. It's been quite challenging, and I'm considering getting some medical advice to ensure everything's alright."
79,"Hi name_token, ive been on here a million times with my bad migraines, so I'm not going to bore everyone, just wanted to say they are no fun they are hormone related and they really do scare you and make you feel like you could honestly be having a stroke or seizure, mine do cycle themselves all the time and can be a bit different every time..","The rephrased version removes specific health-sensitive details such as the mention of 'migraines,' their 'hormone-related' cause, and comparisons to 'stroke or seizure.' By doing this, it generalizes the health concern, maintaining privacy while still conveying the message.",5,"['bad migraines', 'hormone related', 'feel like you could honestly be having a stroke or seizure', 'cycle themselves all the time and can be a bit different every time']",2,"Hi name_token, I've posted here many times about recurring issues, so I won't go into detail, just wanted to share that they can really be concerning and vary from time to time."
80,i am 52 years old and for years I've felt worthless and so unhappy,"The rephrased text removes the author's specific age and the duration of their feelings, which are personal health-sensitive details. This generalization preserves the author's sentiment while protecting their privacy.",3,The author's age and years of feeling worthless and unhappy.,2,I've often struggled with feelings of worthlessness and unhappiness.
81,"I have no appetite and force myself to eat. ANXIETY! never had in my life, and the insomnia is terrible. Hopefully over soon I am 51 in July.","The references to 'no appetite' and 'force myself to eat', 'anxiety', and 'insomnia' have been removed to avoid disclosing specific symptoms or health issues. The mention of age is also removed as it could be considered personal information. This makes the text less sensitive while retaining a hopeful and personal tone.",4,"['No appetite', 'Force myself to eat', 'Anxiety', 'Insomnia', 'Age (51 in July)']",0,I've been having some unusual experiences lately. Hoping for brighter days ahead as I approach a new milestone!
82,"I have the exact symptoms as name_token.  Have had them for 3 years.  Mine started with the fluttering sensation when I would laugh hard or bend over. Then it started feeling tender after eating a large meal, the same as i felt when pregnant like a pressure causing the soreness. But not painful. Now I feel some soreness in my back occasionally on the same right side. I don't really have the fluttering anymore but the past couple of weeks when I twist or bend a certain way  or slouch down the exact same spot will have a burning or stinging sensation that just lasts a few seconds.   I had bloodwork and ultrasound about a year ago and they didn't find anything. I am not overweight but I do have a desk job so I sit alot. I do exercise almost everyday.... walking, treadmill, elliptical and a recumbant bike. I have wondered if it has to do with my posture sitting at desk on computer. I do sort of lean to the right side using the mouse.  Or maybe hormones? I am 50.","The rephrased text removes specific details about symptoms and medical evaluations while still conveying the author's concerns about recurring physical sensations. The reference to age and direct symptoms descriptions were also omitted, keeping the privacy of personal health details intact. This makes the text less sensitive by avoiding explicit disclosure of the author’s health experiences.",5,"['Exact symptoms as another individual', 'Duration of symptoms (3 years)', 'Symptoms: fluttering sensation, tenderness after eating a large meal, soreness in back, burning or stinging sensation', 'Medical evaluations: bloodwork and ultrasound results were negative', 'Age (50)']",2,"I've been experiencing some recurring sensations over the past few years. Initially, it would occur during certain physical activities. Recently, I've noticed some physical sensations while seated for long periods, particularly in one position. Medical evaluations haven't shown any issues. I have an active lifestyle and spend time sitting at my desk using the computer, which might contribute to these sensations."
83,"My doctor finds my symptoms to be very unusual, and put me on Colofac for IBS which has not helped. I also have heartburn around this time of my menstrual cycle and am on Somac.","The rephrased version removes specific references to IBS, heartburn, the menstrual cycle, and mentions of specific medications like Colofac and Somac, which are health-sensitive details. Instead, it generalizes the experience and references to treatment, maintaining the style and message while avoiding exposure of sensitive health information.",5,"['Symptoms considered unusual by the doctor', 'Taking Colofac for IBS', 'Heartburn around menstrual cycle', 'Taking Somac']",1,"My doctor mentioned that what I'm experiencing is uncommon, and I'm trying some treatments. I also notice certain discomforts around specific times each month."
84,I have a lopecia that moves around as well and all of my hair is thinner. ,"The rephrased version removes the specific mention of 'alopecia' and the symptom of thinner hair, thus stripping away the health-sensitive details while maintaining the overall message about hair changes.",5,"The mention of 'alopecia,' which refers to a specific medical condition related to hair loss. The detail about hair being thinner is also related to this medical condition.",1,I've noticed changes in my hair recently.
85,"Thanks name_token.  Glad I’m not alone in this.  Me too up and down with intestinal problems.  Had tests , no infection or anything so we will see what comes next.  We’ll keep up to date.","The original text mentioned 'intestinal problems' and 'had tests, no infection,' which are disclosures of specific health conditions and tests. In the rephrased version, I've generalized the 'intestinal problems' to 'experiencing this' and rephrased 'had tests, no infection' to 'have had some checks done, but no specific issues were found,' which generalizes the specific health concerns and testing while maintaining the overall message of seeking answers.",5,"Intestinal problems, Had tests, no infection",3,"Thanks name_token. Glad I’m not alone in experiencing this. I've been dealing with some ups and downs and have had some checks done, but no specific issues were found. We'll see what's next and keep up to date."
86,"I'll constantly be looking in the mirror and brush off skin flakes every few minutes. The other day, I was cleaning my keyboard; I flipped it upside down and it FREAKING SNOWED SKIN FLAKES EVERYWHERE. GFD IT ALL.","In the rephrased version, the specific mention of 'skin flakes' is replaced with a more general term, 'stuff,' which removes the health-sensitive detail about skin conditions while maintaining the author's tone and message.",4,The text describes the author's experience with frequent skin flaking.,0,"I often find myself checking the mirror and tidying up. Recently, I was cleaning my keyboard and a surprising amount of stuff fell out!"
87,"Can confirm, I'm taking 30mg for about a year now and I've gained quite a bit","I removed specific dosage information and the period of time to reduce the specificity of the treatment details. I also generalized the impact as 'changes' to avoid direct mention of weight gain, thus making the information less sensitive.",5,Taking 30mg for about a year; gained quite a bit.,1,"Can confirm, I've been on this for a while now and I've noticed some changes."
88,I have pain across the back of my hands and my finger joints ache a lot still.,"The original text specifically mentioned 'pain' and 'ache' in particular parts of the body, which are specific symptoms. The rephrased version uses the word 'discomfort' and 'certain areas' to generalize these symptoms, making the statement less specific and, therefore, less sensitive.",4,Pain across the back of hands and aching finger joints.,1,I feel discomfort in certain areas of my hands and fingers.
89,Citalopram on 10mg and it was very effective. My symptoms went away about 2 weeks after and haven't returned. Also did yoga and relaxation breathing too.,"The original text mentioned a specific medication (Citalopram) along with the dosage and the timing of symptom relief, which are health-sensitive details. The rephrased text removes this specific information, keeping the focus on the general practice of yoga and relaxation breathing, which is non-sensitive.",5,Citalopram on 10mg and it was very effective. My symptoms went away about 2 weeks after and haven't returned.,0,I found a routine that was very effective. I also tried yoga and relaxation breathing.
90,I have a week tummy and nausea has been a big problem for me along with weight loss. ,"The rephrased version removes specific health-related terms like 'week tummy', 'nausea', and 'weight loss', and generalizes them to 'discomfort' and 'challenging for my routine'. This reduces the sensitivity by not explicitly mentioning specific symptoms or conditions.",4,week tummy and nausea has been a big problem for me along with weight loss,1,I've been experiencing some discomfort and it's been challenging for my routine.
91,I still have bouts of nausea but I don't think it is from the iron infusion but from my spells of off balance/dizziness and I'm yet to find a Dr who can tell me what is causing it. My naturopath suspects it is still my inflamed stomach which takes a minimum of 6 weeks to heal.,"The original text includes various health-sensitive information such as symptoms (e.g., nausea, dizziness), specific treatments (e.g., iron infusion), and a specific diagnosis (inflamed stomach). The rephrased version removes these specific health details and provides a general overview without identifying specific conditions or treatments, reducing the sensitivity.",5,"['bouts of nausea', 'iron infusion', 'off balance/dizziness', 'naturopath', 'inflamed stomach', 'minimum of 6 weeks to heal']",1,I'm experiencing some discomfort but have not determined the cause yet. I'm consulting with healthcare professionals to figure out what's going on.
92,I've got three more days on the antibioics and all they've done is increase my diarrehea (like I needed that!).  I've had no improvement whatsoever with my symptoms. ,The sensitive information related to the specific medication (antibiotics) and symptom (diarrhea) has been generalized to 'treatment' and 'discomfort'. The overall dissatisfaction with the lack of improvement has been retained without specifying the medical details. This rephrasing keeps the essence of frustration while omitting health-sensitive specifics.,5,"['antibiotics', 'diarrhea', 'no improvement in symptoms']",2,I've been really frustrated lately with a treatment I'm on. It's been challenging dealing with increased discomfort and seeing no progress.
93," My ferritin was an 8, so 60 is pretty good.","The specific ferritin levels (8 and 60) were removed to obscure direct health information, creating a more general statement about improved health. This makes the text less sensitive while retaining the positive sentiment about the improvement.",5,Ferritin level of 8; current ferritin level of 60.,0,I'm happy with the improvement in my health indicators.
94,"The gynecologist I spoke to just said to me i think with your periods starting to become irregular, I highly doubt you will have children and sorry you don't qualify for IVF and the cut off age is 43 and you are 43 now,","The rephrased version removes specific references to the author's irregular periods and their current age, which are sensitive health details. By generalizing the information about eligibility for treatments and age restrictions, we maintain the overall message without disclosing specific health conditions.",5,"['periods starting to become irregular', 'doubt you will have children', ""don't qualify for IVF"", 'cut off age is 43 and you are 43 now']",3,The doctor I consulted said it's unlikely I'll have children and mentioned that I don't meet the criteria for certain treatments due to age restrictions.
95,"Last year out of the blue i started having episodes like you describe. I was having random panic attacks, feeling faint, slurred speech, laboured breathing, noise sensitivity and constantly felt like i was in a dream state.","The rephrased version removes detailed symptoms like 'panic attacks,' 'feeling faint,' 'slurred speech,' 'laboured breathing,' 'noise sensitivity,' and 'dream state.' Instead, it uses more general terms like 'issues' and 'unexpected moments of anxiety' to convey a sense of experiencing health concerns without specifying symptoms, making it less sensitive.",4,"['random panic attacks', 'feeling faint', 'slurred speech', 'laboured breathing', 'noise sensitivity', 'constantly felt like in a dream state']",2,"Last year, out of the blue, I started experiencing issues similar to what you described. I had unexpected moments of anxiety and felt unlike my usual self."
96,I have Xanax on board when I am too anxious.,"The original text mentions a specific medication, Xanax, and a specific condition, anxiety. The rephrased version removes the specific medication and condition, instead using more general terms 'something on hand' and 'overwhelmed,' which reduces the sensitivity while maintaining the original message's intent.",5,"Xanax, anxious",1,I keep something on hand for when I feel too overwhelmed.
97,"?I still have no 'job' other than day to day stuff which is very unreliable. I still have zero friends, I still have zero social life (obvious really!) and still feel a disconnect from my family. I still feel like my gf would be better without me.",,0,,0,
98,"The idea of depression being there is the worst thought I can have. If it's unfixable then I really don't want to continue. Would you keep a car with a broken engine? You try to fix it, but if all avenues have failed the you send it to scrap. I'm a write-off at the moment!","I replaced 'depression' with 'feeling down' to generalize the emotional state rather than naming a specific mental health condition. I altered 'unfixable then I really don't want to continue' to 'no way to improve things, then I really feel stuck', which removes the severity of the situation while still conveying a sense of difficulty. 'I'm a write-off at the moment!' is changed to 'I'm feeling like I'm at a standstill at the moment', softening the intensity of the statement.",5,"Depression, the thought of an unfixable mental state, perceived as being a 'write-off'.",3,"The idea of feeling down is the worst thought I can have. If there's no way to improve things, then I really feel stuck. Would you keep a car with a broken engine? You try to fix it, but if all attempts have failed, then you move on. I'm feeling like I'm at a standstill at the moment!"
99,"i dont notice any triggers to be honest, the symtoms arrise out of no where. i can be reading a book and then bam, i feel lightheaded and weird and foggy.","I rephrased the text to remove specific symptoms like 'lightheaded' and 'foggy,' instead describing them as general 'unexpected sensations' and 'feeling a bit off.' This makes the text less sensitive by avoiding specific symptom disclosure.",4,"The text mentions feeling lightheaded, weird, and foggy without any identifiable triggers.",2,I sometimes experience unexpected sensations out of the blue. I can be reading a book and then suddenly feel a bit off.
100,"""i think i can understand how you feel cuz most of the time i myself feel like this... everything seems to be exhausting me, no matter what i do... everything has become so boring that death seems so much interesting, though i'm not going to kill myself but just as you said i also wish something were to happen to me.",The rephrased text removes sensitive information concerning thoughts about death and wishing for an event to happen. This makes the text less sensitive while still conveying feelings of exhaustion and lack of interest.,5,"['The author expresses feelings of exhaustion and has thoughts about death being interesting.', 'The author mentions wishing for something to happen to them.']",1,I can relate to how you're feeling because I've been experiencing similar sentiments lately. It seems like everything wears me out and feels uninteresting.
101,"I guess I'm also aching for purpose, for a reason (or my reason) for being here, breathing. Like you. I'm also looking for answers as to why I find it hard to maintain relationships, why I care so little about what other people care so much about, why I lack ambition, why I feel inferior and defeated most of each and every day, why I'm so afraid, why I bother even going through the motions when I also think any friend or potential partner that shows as much interest in me as I do them will eventually leave when they get to know the real me...my last gf did and that was 8 years ago.","In the rephrased text, specific feelings of inferiority and being defeated, as well as lack of ambition, have been generalized to feeling 'discouraged.' This makes the message less focused on sensitive internal states while maintaining the author's sense of searching for purpose and difficulty in forming lasting connections.",3,"Feels inferior and defeated most days, lack of ambition, fear, difficulty maintaining relationships, fear of being abandoned by friends or partners after getting to know them.",2,"I guess I'm also searching for purpose, for a reason (or my reason) for being here, breathing. Like you. I'm also looking for answers as to why I find it challenging to maintain connections, why I care less about things others are passionate about, why I feel discouraged often, why I'm afraid, why I go through the motions when I think anyone who shows interest in me will eventually leave when they get to know the real me...my last relationship ended 8 years ago."
102," I called 9-11 since I was unsure if it was something more then I thought. The ER drew blood and then the doctor told me it was considered ""post viral syndrome"". ","The rephrased version removes specific details about calling emergency services, getting blood drawn, and receiving a diagnosis of 'post-viral syndrome'. These details were replaced with more general terms, reducing the specificity of the medical experience while keeping the narrative intact.",5,"Called 9-11, ER drew blood, diagnosed with post-viral syndrome.",3,"I was unsure if it was something serious, so I sought emergency help. The healthcare team ran some tests and reassured me that my symptoms were part of recovery after a common illness."
103,I have the same symptoms you describe and often get episodes very similar to panic attacks indeed they did turn into panic attacks I dealt with them for so long with my GP telling me it was all anxiety,The rephrased text maintains the general theme but removes specific references to personal experiences with panic attacks and interaction details with the GP. It instead uses a more general wording to imply difficulty dealing with feelings interpreted as anxiety-related without explicitly confirming symptoms or experiences.,5,The text discloses having symptoms similar to and eventually becoming panic attacks. It also mentions interacting with a GP who attributed the symptoms to anxiety.,3,"I experience something very similar to what you've described and found it challenging, as it felt akin to panic episodes. Over time, I managed these feelings with the help of my doctor, who suggested they were anxiety-related."
104,I have noticed a slight decrease in anxiety but not enough for it not to be debilitating still.,"The original text mentions 'anxiety' and its impact on the author's life, which is sensitive health information. The rephrased version omits specific mention of anxiety and instead generally describes experiencing some positive changes and challenges, making the information less sensitive.",4,slight decrease in anxiety but not enough for it not to be debilitating still,1,I have noticed some positive changes but still face challenges.
105,I experienced the same thing for about a year.after bowel movements plus anxiety surges. Nothing really stops it. I practice Yoga and mindfulness and was able to not lose my mind totally. When my hormones settled the internal buzzing stopped.,"The original text includes health-sensitive information such as experiences related to bowel movements, anxiety surges, and changes in hormone levels. The rephrased version maintains the overall sentiment of dealing with a difficult period using mindfulness practices while omitting specific medical conditions or symptoms to ensure privacy and reduce sensitivity.",5,Experienced the same thing for about a year after bowel movements plus anxiety surges. Hormones settled the internal buzzing stopped.,3,"I went through something similar for quite some time. I practice Yoga and mindfulness to stay centered. Eventually, things calmed down naturally."
106,I recently had covid-19 and right now is ok is suffering from breast pain,"The rephrased text removes specific mentions of COVID-19 and breast pain, generalizing the health issue and discomfort to protect sensitive health information. This makes the post less identifiable and maintains privacy.",5,"Had COVID-19, suffering from breast pain",2,I recently went through a health issue and currently experiencing some discomfort.
107,Thank you for the epson salt suggestion. could not sleep because my itching was so bad.,"The original text mentioned difficulty sleeping due to itching, which is a specific symptom. The rephrased version acknowledges the usefulness of the suggestion without mentioning any specific health symptom, reducing the sensitivity.",4,itching causing inability to sleep,0,Thank you for the Epsom salt suggestion. It really helped me relax.
108,Had a Sigmoidoscopy a couple years ago which didn't show anything so they dismissed it as ibs but symptoms far worse now than they were then.,"The original text mentioned specific medical procedures and a diagnosis (Sigmoidoscopy and IBS), which are considered sensitive information. The rephrased version refers to the procedure as a 'test' and the diagnosis as a 'common digestive issue' to make it less specific and sensitive while retaining the general context of worsening symptoms.",5,"Sigmoidoscopy a couple years ago which didn't show anything, dismissed it as ibs, symptoms far worse now",3,"A few years back, I underwent a test that didn't reveal much, and it was initially attributed to a common digestive issue. However, things have gotten noticeably worse since then."
109,"I am also still on amitriptyline because I got hot flushes and night sweats due to menopause and amitriptyline is a treatment that helps you sleep through the night sweats, so as I was already on it and my body had adjusted to it my GP said I may as well stay on it during menopause.","The rephrased text removes specific medication names, symptoms, and the explicit mention of menopause while maintaining the general scenario of using a medication on medical guidance for a common situation. This reduces the specific health details shared while keeping the overall message intact.",5,"['use of amitriptyline', 'experience of hot flushes and night sweats', 'condition of menopause', 'recommendation from GP to stay on amitriptyline during menopause']",2,I am currently using a medication that helps with sleep disturbances associated with a common change experienced by many. My healthcare provider advised continuing it as it's been effective for my situation.
110,They prescribed me a foam enema to take for 14 days but then they want to start me on tablets once I've seen them about my biopsies. I got a letter from them last week to see my biopsies showed ulcerative colitis and proctitis.,"The rephrased text removes specific medical details such as the type of medication and specific conditions diagnosed (ulcerative colitis and proctitis). By generalizing the context to 'test results' and 'different forms of medication,' the text becomes less sensitive and more private, ensuring the person’s detailed health information is not disclosed.",5,"['Foam enema prescribed for 14 days', 'Plan to start tablets after biopsy review', 'Biopsy results showing ulcerative colitis and proctitis']",1,I will be starting a new treatment soon after discussing some test results with my healthcare provider. They mentioned using different forms of medication.
111, I got a referral to a dermatologist. I went and he diagnosed me with dyshidrotic eczema. ,"The rephrased version removes specific references to the type of specialist and the diagnosis. By using more general terms like 'specialist' and 'diagnosis,' the health-sensitive details are sanitized, reducing specificity while maintaining the overall message.",5,"['referral to a dermatologist', 'diagnosed with dyshidrotic eczema']",1,"I went to see a specialist, who provided me with a diagnosis."
112,I do have these tremors in my chest as well. Although they’re scary I don’t fret about them much anymore as I know it’s not my heart.,The original text is rephrased to generalize the description of the symptoms ('tremors in my chest') and remove the specific reassurance regarding their heart. This makes the text less health-sensitive while maintaining the author's overall message of reduced concern.,4,The author mentions experiencing tremors in their chest and specifies that they are not worried about it being related to their heart.,1,"I occasionally experience these odd sensations in my chest. While they were concerning at first, I'm not too worried about them now."
113,I saw a doctor yesterday and he thinks it could be sleep apnea and referred me to a pulmonary specialist.,The rephrased version removes specific details about the possible condition (sleep apnea) and the type of specialist (pulmonary). This makes the text less sensitive while maintaining the general message about seeking further medical evaluation.,5,The text discloses that the author has seen a doctor who suspects sleep apnea and has referred the person to a pulmonary specialist.,3,I recently consulted a doctor who suggested I see a specialist for further evaluation.
114,And lithium is so well known and my new Dr (50yrs of experience) said there's a reason why it's been prescribed for over 50 years..it works!,"The rephrased version removes the specific mention of lithium, which is sensitive as it relates to particular medical treatment. By referring more generally to longstanding treatments, the text still conveys trust in the expertise of the physician but avoids disclosing specific health-related information. It also removes the phrase 'my new Dr,' which suggests recent personal medical engagement.",5,"The mention of lithium being prescribed, the author's reference to having a 'new Dr' with 50 years of experience suggests they might be under treatment, potentially for a condition like bipolar disorder or another mental health issue where lithium is commonly used.",0,"And it's well-known that many treatments have stood the test of time. My trusted physician, who's been practicing for 50 years, mentioned that there's a reason it's been around so long—it works!"
115,"hi, I started with mild symptoms 4 weeks ago, mild cough, low grade temp only around 38, breathlessness. my husband had the same, but after 6 days he is back to normal (he us a 47 year old type 1 diabetic)","The original text described specific symptoms and health conditions, including a specific temperature, symptoms like cough and breathlessness, and the husband's type 1 diabetes diagnosis and age. The rephrased version eliminates specific medical details and ages, focusing instead on a general sense of past discomfort and current well-being, which preserves privacy.",5,"['mild symptoms 4 weeks ago', 'mild cough', 'low grade temp only around 38', 'breathlessness', 'husband had the same', 'husband is a 47 year old type 1 diabetic']",0,"Hi, I started experiencing some discomfort a few weeks ago, but my partner and I are feeling better now."
116,"Hola , I have a ton of severe stomach issues. I am not a doctor but, I do know that the stomach es actually in the upper left section of the abdomen and the gall bladder es in the upper right section. Although a CT scan has been done and the results came back ""ok"", it does NOT necessarily mean that everything es perfectly fine with the gall bladder... Not folks that review CT Scans, MRI ' S etc. are skilled... Some doctors may determine that you have ""sludge or small gall stones"" and not consider it a big deal because medicine claims that the ""MAJORITY"" of patients have no pain at all... YOU could be in that rare category of folks that have pain. I am no a doctor but, if it does not feel the way that it normally should, there es something going on. Sounds like something in that area may be swelling for whatever reason at times. ...but, the gall bladder can certainly cause those periodic sharp pains... I would definitely obtain a second and possibly a third opinion if necessary. Could be scar tissue... Regardless, do no take it lightly. IFAlso, blood work can be misinterpreted and labs can make mistakes. I certainly will keep you in prayer my friend. 😊","I removed specific mentions of 'severe stomach issues', 'CT scan', and 'sludge or small gallstones' to generalize the health concerns. This reduces sensitivity by not mentioning specific conditions or tests. Rephrasing the context from specific personal experience to a general caution about seeking medical opinions also helps make it less personal.",5,"['I have a ton of severe stomach issues.', 'a CT scan has been done and the results came back ""ok""', 'Some doctors may determine that you have ""sludge or small gall stones""', 'YOU could be in that rare category of folks that have pain.']",0,"Hola, I've had some concerns related to discomfort in my abdomen. Even though tests have shown nothing unusual, it doesn't always mean everything is perfect. It's important to seek multiple opinions if something feels off because even experts can miss things. Stay attentive, and I’ll keep you in my thoughts."
117,"And as a kid the thought of CFS and that I could get that is very scary. As of right now i feel better than how I felt at the worst of my setback, but I don’t feel back on track and I just keep feeling ups and downs (and the same amount of energy as I had in March). ","The mention of 'CFS' has been generalized to 'health issues', and 'setback' has been changed to 'worst moments' to make the text less specific regarding health conditions. These changes maintain the overall sentiment and tone while sanitizing the sensitive information.",5,"The mention of CFS (Chronic Fatigue Syndrome) and feelings of fluctuation in energy levels, along with a 'setback' related to health.",3,"As a kid, thinking about health issues and the possibility of facing them is quite scary. Currently, I feel better than at my worst moments, but I'm not completely back on track, experiencing ups and downs with my energy levels staying the same since March."
118,  my GP got the bloodwork back and it showed elevated inflammation in my body.    He wants me to come in for further bloodwork so I’m going to the lab tomorrow.  ,"The original text specified 'elevated inflammation' as a sensitive health condition and mentioned 'further bloodwork.' The rephrased text generalizes this information, removing the specific health condition while maintaining the overall message about the requirement for additional tests.",5,"Elevated inflammation in the body, further bloodwork",1,My GP mentioned something in the bloodwork results and asked me to visit the lab for more tests.
119,"All of a sudden, I started having stomach pains. Severe ones. But, they were sporadic and I assume they were bad period cramps because they came with bleeding.","The original text disclosed specific symptoms such as severe stomach pains and bleeding, which could indicate a specific health issue. The rephrased version uses more general terms like 'discomfort' and 'regular monthly issue' to reduce specificity and health sensitivity, while maintaining the overall message of the experience being sudden and intense.",4,"Stomach pains, severe; Sporadic; Assumed to be bad period cramps; Came with bleeding",1,"Out of nowhere, I began experiencing some discomfort. It was intense at times but happened intermittently, so I thought it might be related to a regular monthly issue."
120,"For example, they know (to a high degree of of accuracy) that X% of their population is going to be on blood pressure medication and how many of the major blood pressure meds will need to be prescribed for the number of people who live in their country.","The original text disclosed information about blood pressure medication usage among the population. By removing specific references to 'blood pressure,' the rephrased text avoids mentioning any particular health condition or treatment. This generalizes the information and makes it less sensitive.",5,X% of their population is going to be on blood pressure medication; major blood pressure meds need to be prescribed for the number of people who live in their country.,0,"For example, they know (to a high degree of accuracy) what percentage of their population is likely to require certain medications and how many will need to be available for their residents."
121,"I’m sorry to hear about your findings, but since you’ve caught it in the early stages I’m sure there are many actions you can take if you consult with the proper medical professionals. I do know of a clinic called Stem Cell of America that specializes in treatments that target Alzheimers and aid in cognitive enhancement. I would suggest checking them out when the time is right. ","The rephrased text removes the specific mention of Alzheimer's and cognitive enhancement treatments, which are sensitive health details. Instead, it uses more general terms like 'situation' and 'supportive treatments' to maintain the message while reducing specificity.",5,The text mentions specific health information related to Alzheimer's and treatments for cognitive enhancement.,3,"I’m sorry to hear about your situation, but since you’ve caught it in the early stages, I’m sure there are many actions you can take if you consult with the proper medical professionals. I do know of a clinic that specializes in supportive treatments and may be worth looking into when the time is right."
